,event:id,org:resource,item:type,item:id,event:org:resource,concept:name,event:cum,time:timestamp,case:area,case:sub_company,case:doc_type,case:sub_area,case:doc_id,case:item:cat,case:vendor:name,case:inv_verif,case:concept:name,case:goods_receipt
4,1078423338352640,vendorID_1864,Limit,40,NONE,Vendor creates invoice,1887.0,2017-01-12 23:59:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4508076155,2-way match,vendor_1788,False,4508076155_00040,False
5,1078423338352641,vendorID_1864,Limit,40,user_602,Create Purchase Order Item,1887.0,2018-07-18 09:04:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4508076155,2-way match,vendor_1788,False,4508076155_00040,False
6,1078423338352642,vendorID_1864,Limit,40,user_603,Change Approval for Purchase Order,1887.0,2018-07-18 16:13:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4508076155,2-way match,vendor_1788,False,4508076155_00040,False
7,1078423338352643,vendorID_1864,Limit,40,user_359,Record Invoice Receipt,1887.0,2018-07-19 13:37:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4508076155,2-way match,vendor_1788,False,4508076155_00040,False
8,1078423338352644,vendorID_1864,Limit,40,user_604,Clear Invoice,1887.0,2018-07-24 10:17:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4508076155,2-way match,vendor_1788,False,4508076155_00040,False
9,1078423338352645,vendorID_1864,Limit,40,user_602,Change Approval for Purchase Order,1887.0,2018-07-25 10:20:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4508076155,2-way match,vendor_1788,False,4508076155_00040,False
10,1078423338352646,vendorID_1864,Limit,40,user_603,Change Approval for Purchase Order,1887.0,2018-07-25 12:29:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4508076155,2-way match,vendor_1788,False,4508076155_00040,False
11,1078423338352647,vendorID_1864,Limit,40,user_602,Change Approval for Purchase Order,1887.0,2018-08-30 08:50:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4508076155,2-way match,vendor_1788,False,4508076155_00040,False
12,1078423338352648,vendorID_1864,Limit,40,user_603,Change Approval for Purchase Order,1887.0,2018-08-30 09:37:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4508076155,2-way match,vendor_1788,False,4508076155_00040,False
13,1078410453450752,vendorID_1864,Limit,10,NONE,Vendor creates invoice,1887.0,2017-01-25 23:59:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4508076155,2-way match,vendor_1788,False,4508076155_00010,False
14,1078410453450753,vendorID_1864,Limit,10,user_602,Create Purchase Order Item,1887.0,2018-07-18 09:04:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4508076155,2-way match,vendor_1788,False,4508076155_00010,False
15,1078410453450754,vendorID_1864,Limit,10,user_603,Change Approval for Purchase Order,1887.0,2018-07-18 16:13:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4508076155,2-way match,vendor_1788,False,4508076155_00010,False
16,1078410453450755,vendorID_1864,Limit,10,user_359,Record Invoice Receipt,1887.0,2018-07-19 13:31:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4508076155,2-way match,vendor_1788,False,4508076155_00010,False
17,1078410453450756,vendorID_1864,Limit,10,user_604,Clear Invoice,1887.0,2018-07-24 10:17:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4508076155,2-way match,vendor_1788,False,4508076155_00010,False
18,1078410453450757,vendorID_1864,Limit,10,user_602,Change Approval for Purchase Order,1887.0,2018-07-25 10:20:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4508076155,2-way match,vendor_1788,False,4508076155_00010,False
19,1078410453450758,vendorID_1864,Limit,10,user_603,Change Approval for Purchase Order,1887.0,2018-07-25 12:29:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4508076155,2-way match,vendor_1788,False,4508076155_00010,False
20,1078410453450759,vendorID_1864,Limit,10,user_602,Change Approval for Purchase Order,1887.0,2018-08-30 08:50:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4508076155,2-way match,vendor_1788,False,4508076155_00010,False
